course,instructor,quarter,year,A,B,C,D,F,nLetterStudents,nPNPStudents,avgGPA,P,dept,S,su,Ap,Bp,Cp,Dp,Am,Bm,Cm,Dm,IP,coursetitle,units,prereqs,description,overallrating,studentcomments,reviewcount,wouldtakeagain,difficultylevel
DANCE   147F,MEUNIER M M,Spring,2024,8,2,0,0,0,13,0,3.776923077,0,DANCE,0,0,0,0,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE   151C,MCCARTHY C R,Spring,2024,6,0,0,0,0,8,0,3.925,0,DANCE,0,0,0,0,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE   156C,SANCHEZ C A,Spring,2024,7,0,0,0,0,10,0,3.97,0,DANCE,0,0,2,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE   156F,SANCHEZ C A,Spring,2024,10,0,0,0,0,11,0,3.845454545,0,DANCE,0,0,0,0,1,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE   167B,MCCARTHY C R,Spring,2024,8,0,0,0,0,14,0,3.814285714,0,DANCE,0,0,0,2,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE   182BX,HUSTON V G,Spring,2024,1,0,0,0,0,5,0,3.76,0,DANCE,0,0,0,0,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE   182MX,SANCHEZ C A,Spring,2024,4,0,0,0,0,7,0,4,0,DANCE,0,0,3,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE   182TP,OCAMPO C,Spring,2024,3,0,0,0,0,5,0,3.68,0,DANCE,0,0,0,0,0,0,1,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
DANCE   194,MEUNIER M M,Spring,2024,13,2,0,0,0,19,0,3.831578947,0,DANCE,0,0,0,0,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EACS      4B,MOORE K C,Spring,2024,120,23,6,2,12,269,0,3.362453532,0,EACS,0,0,3,26,5,3,48,15,6,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EACS      4B,YANG M,Spring,2024,120,23,6,2,12,269,0,3.362453532,0,EACS,0,0,3,26,5,3,48,15,6,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EACS    109B,STEAVU-BALINT,Spring,2024,7,0,0,0,0,16,0,3.7375,0,EACS,0,0,1,1,1,0,6,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH     2,RIOUX M E,Spring,2024,16,17,13,8,16,156,0,2.467307692,0,EARTH,0,0,3,20,13,10,21,8,8,3,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH     3,WYSS A R,Spring,2024,8,5,3,5,4,39,0,2.435897436,0,EARTH,0,0,0,4,3,0,1,3,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH     4,ANDERSON O E,Spring,2024,66,30,4,2,8,234,0,3.402564103,0,EARTH,0,0,36,34,6,1,36,9,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH     7,MOORE J,Spring,2024,54,50,18,1,10,275,0,3.074909091,0,EARTH,0,0,12,36,17,3,37,35,0,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH    10,WROBEL A J,Spring,2024,32,32,22,2,12,224,0,2.845982143,0,EARTH,0,0,7,26,18,7,34,23,9,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH    11,MATOZA R S,Spring,2024,13,6,4,1,5,73,0,3.060273973,0,EARTH,0,0,18,5,4,3,9,1,4,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH    20,JACKSON M G,Spring,2024,42,30,15,5,11,255,0,3.007843137,0,EARTH,0,0,44,29,22,3,23,16,9,6,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   102A,RIOUX M E,Spring,2024,4,5,0,0,2,24,0,3.175,0,EARTH,0,0,1,3,0,0,7,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   104A,WROBEL A J,Spring,2024,6,2,2,0,1,27,0,3.207407407,0,EARTH,0,0,2,8,0,0,2,4,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   106,LISIECKI L E,Spring,2024,10,1,0,0,0,30,0,3.473333333,0,EARTH,0,0,7,2,1,0,3,4,1,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   117,DE JONG M T,Spring,2024,15,3,0,0,2,28,0,3.507142857,0,EARTH,0,0,2,0,0,0,5,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   122,SIMMS A R,Spring,2024,2,4,0,0,1,27,0,2.888888889,0,EARTH,0,0,0,5,4,1,6,3,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   124I,WELDEAB S,Spring,2024,5,3,0,0,0,22,0,3.490909091,0,EARTH,0,0,0,5,0,0,7,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   133,EILON Z C,Spring,2024,2,5,0,0,1,14,0,3,0,EARTH,0,0,0,3,0,0,1,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   136,JI C,Spring,2024,4,3,2,0,0,17,0,3.064705882,0,EARTH,0,0,1,2,0,0,0,4,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   137,GANTI N K,Spring,2024,3,0,0,0,0,9,0,3.522222222,0,EARTH,0,0,1,1,1,0,2,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   160,COTTLE J,Spring,2024,0,0,0,0,0,0,45,0,43,EARTH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   163,RAVEN M R,Spring,2024,6,2,0,1,1,23,0,3.234782609,0,EARTH,0,0,1,4,1,0,5,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   168,CLARK J,Spring,2024,2,5,0,0,0,20,0,2.99,0,EARTH,0,0,1,1,3,0,3,3,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EARTH   189,PORTER S M,Spring,2024,6,0,0,0,0,6,0,4,0,EARTH,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE       1B,PARHAMI B,Spring,2024,0,0,0,0,0,0,97,0,95,ECE,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE       6,SMITH S L,Spring,2024,28,6,2,0,0,66,0,3.698484848,0,ECE,0,0,21,1,1,1,4,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE      10B,KIM B,Spring,2024,4,4,0,0,0,24,0,3.279166667,0,ECE,0,0,5,4,1,0,2,1,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE      10BL,KIM B,Spring,2024,16,0,0,0,0,18,0,4,0,ECE,0,0,2,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE      10C,ALIZADEH M,Spring,2024,38,19,15,3,2,130,0,3.061538462,0,ECE,0,0,7,9,9,0,10,10,8,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE      10CL,ALIZADEH M,Spring,2024,116,0,0,0,1,129,0,3.951937984,0,ECE,0,0,8,0,0,0,3,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     120B,LOPATIN S D,Spring,2024,8,0,0,0,0,27,0,3.851851852,0,ECE,0,0,11,4,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     122B,BREWER F,Spring,2024,2,1,0,0,0,7,0,3.714285714,0,ECE,0,0,2,1,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     130B,PEDARSANI R,Spring,2024,12,13,2,2,0,71,0,3.046478873,0,ECE,0,0,1,12,8,1,9,8,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     130C,YU Q,Spring,2024,4,2,0,0,4,17,0,2.270588235,0,ECE,0,0,1,2,1,1,0,0,1,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     135,DAGLI N,Spring,2024,2,1,0,0,0,6,0,3.666666667,0,ECE,0,0,1,1,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     136C,MOODY G A,Spring,2024,8,0,0,0,0,28,0,3.942857143,0,ECE,0,0,16,1,0,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     137B,THEOGARAJAN L,Spring,2024,14,15,2,0,0,66,0,3.38030303,0,ECE,0,0,10,11,0,0,4,10,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     139,ROSE K,Spring,2024,84,8,6,0,0,161,0,3.647204969,0,ECE,0,0,5,9,2,0,35,11,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     142,SALEM L G,Spring,2024,3,6,0,1,0,21,0,3.004761905,0,ECE,0,0,0,6,3,0,0,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     146B,MADHOW U,Spring,2024,3,0,0,0,0,6,0,3.883333333,0,ECE,0,0,2,1,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     147C,HESPANHA J P,Spring,2024,6,0,0,0,0,10,0,3.97,0,ECE,0,0,3,0,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     148,LEE H,Spring,2024,13,0,0,0,0,15,0,4,0,ECE,0,0,2,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     152A,LI P,Spring,2024,10,15,11,2,2,95,0,2.777894737,0,ECE,0,0,8,10,9,1,6,11,9,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     153B,ISUKAPALLI Y,Spring,2024,14,8,1,0,0,51,0,3.305882353,0,ECE,0,0,0,10,5,0,8,4,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     158,GIBSON J D,Spring,2024,11,0,0,0,0,14,0,3.878571429,0,ECE,0,0,0,2,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     179D,BYL K A,Spring,2024,6,1,0,0,0,15,0,3.48,0,ECE,0,0,2,2,3,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     180,QIN YAO,Spring,2024,28,4,0,0,0,79,0,3.718987342,0,ECE,0,0,9,10,2,0,26,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     183,MEZIC I,Spring,2024,3,1,0,0,0,5,0,3.8,0,ECE,0,0,1,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     184,SEN P,Spring,2024,8,4,2,1,0,33,0,3.454545455,0,ECE,0,0,6,0,1,0,9,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     188C,BEN-YAACOV I,Spring,2024,36,2,0,1,0,60,0,3.823333333,0,ECE,0,0,13,3,0,0,3,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     188C,CHENEY C R,Spring,2024,36,2,0,1,0,60,0,3.823333333,0,ECE,0,0,13,3,0,0,3,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECE     189C,ISUKAPALLI Y,Spring,2024,23,3,1,0,0,59,0,3.749152542,0,ECE,0,0,10,8,0,0,14,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON      2,BEDARD K L,Spring,2024,98,92,61,1,8,701,0,3.162910128,0,ECON,0,0,7,135,45,4,174,71,5,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON      3A,ANDERSON R W,Spring,2024,17,18,39,13,30,232,0,2.424137931,0,ECON,0,0,5,36,13,0,25,27,9,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON      3AH,ANDERSON R W,Spring,2024,0,0,0,0,0,0,10,0,10,ECON,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON      3B,FULKERSON S D,Spring,2024,9,15,11,4,2,90,0,2.802222222,0,ECON,0,0,1,16,5,0,12,7,8,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON      5,GUAN M,Spring,2024,30,15,10,0,12,138,0,2.819565217,0,ECON,0,0,6,14,9,3,15,16,5,3,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON      5,LIU D,Spring,2024,30,15,10,0,12,138,0,2.819565217,0,ECON,0,0,6,14,9,3,15,16,5,3,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON      9,BEDARD K L,Spring,2024,24,38,14,1,0,192,0,3.109375,0,ECON,0,0,7,29,20,0,31,26,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON      9,BENELLI C A,Spring,2024,20,9,2,0,1,52,0,3.442307692,0,ECON,0,0,0,9,0,1,10,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON     10A,HARTMAN J L,Spring,2024,52,29,8,3,17,269,0,2.920074349,0,ECON,0,0,5,31,14,5,50,35,17,3,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    100B,KANG EUNSEO,Spring,2024,30,47,61,17,3,365,0,2.657808219,0,ECON,0,0,8,49,46,8,27,45,22,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    100B,QIN C Z,Spring,2024,30,47,61,17,3,365,0,2.657808219,0,ECON,0,0,8,49,46,8,27,45,22,2,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    101,MA YUEYUAN,Spring,2024,57,57,5,0,2,253,0,3.266403162,0,ECON,0,0,0,41,9,0,43,36,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    106,BENELLI C A,Spring,2024,90,2,0,0,0,115,0,3.905217391,0,ECON,0,0,4,8,0,0,11,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    107B,EBENSTEIN A O,Spring,2024,14,21,2,0,1,114,0,3.270175439,0,ECON,0,0,0,40,6,0,24,5,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    112A,EBENSTEIN A O,Spring,2024,24,23,2,0,0,193,0,3.387564767,0,ECON,0,0,0,87,3,0,46,7,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    114A,BENELLI C A,Spring,2024,93,1,0,0,0,129,0,3.872868217,0,ECON,0,0,5,16,0,0,14,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    118,KULPER D E,Spring,2024,12,11,6,3,0,94,0,3.053191489,0,ECON,0,0,0,20,6,0,18,15,2,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    118H,KULPER D E,Spring,2024,0,0,0,0,0,0,7,0,7,ECON,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    130,HERRERA LA RO,Spring,2024,19,11,6,0,0,79,0,3.398734177,0,ECON,0,0,10,12,2,0,12,7,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    130,STREHL PESSIN,Spring,2024,19,9,3,0,0,79,0,3.427848101,0,ECON,0,0,10,15,2,0,11,10,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    132A,ANDERSON R W,Spring,2024,4,3,4,0,1,33,0,2.860606061,0,ECON,0,0,3,3,4,1,3,6,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    132A,FULKERSON S D,Spring,2024,13,12,1,0,0,60,0,3.408333333,0,ECON,0,0,1,14,0,0,14,4,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    132AH,ANDERSON R W,Spring,2024,0,0,0,0,0,0,6,0,6,ECON,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    134A,HARTMAN J L,Spring,2024,49,40,28,5,2,248,0,3.022580645,0,ECON,0,0,8,28,31,0,31,18,8,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    136A,GROVER S R,Spring,2024,15,7,0,0,1,52,0,3.405769231,0,ECON,0,0,12,4,1,2,6,2,1,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    136A,HARMON C J,Spring,2024,6,4,4,0,0,42,0,2.947619048,0,ECON,0,0,0,12,9,1,3,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    136B,HULME J L,Spring,2024,20,22,9,6,3,115,0,2.602608696,0,ECON,0,0,0,6,2,5,11,11,14,6,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    136C,HARMON C J,Spring,2024,12,4,17,0,1,66,0,2.793939394,0,ECON,0,0,0,8,11,1,6,5,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    136C,HULME J L,Spring,2024,6,9,2,2,1,56,0,2.6,0,ECON,0,0,0,5,3,1,7,8,8,4,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    136CH,HARMON C J,Spring,2024,0,0,0,0,0,0,6,0,6,ECON,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    137A,GROVER S R,Spring,2024,24,13,0,0,1,88,0,3.665909091,0,ECON,0,0,32,5,0,0,8,5,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    138A,RICHTER B,Spring,2024,53,24,11,1,1,104,0,3.456730769,0,ECON,0,0,9,5,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    138B,HARRIS J P,Spring,2024,44,12,1,0,0,77,0,3.679220779,0,ECON,0,0,7,0,2,0,8,2,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    139,HARMON C J,Spring,2024,8,8,7,0,0,56,0,2.9875,0,ECON,0,0,0,8,9,0,8,7,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    139H,HARMON C J,Spring,2024,0,0,0,0,0,0,9,0,9,ECON,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    140A,VAZQUEZ-BARE,Spring,2024,53,39,16,9,6,250,0,2.9924,0,ECON,0,0,0,35,23,4,35,24,6,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    171,BERGSTROM T C,Spring,2024,15,8,12,2,2,74,0,2.728378378,0,ECON,0,0,6,7,4,0,2,6,5,5,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    187,HOFFMAN M,Spring,2024,156,2,0,0,4,177,0,3.863841808,0,ECON,0,0,0,4,0,0,11,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    189,KULPER D E,Spring,2024,9,14,6,0,0,67,0,3.002985075,0,ECON,0,0,0,8,6,2,12,7,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    189H,KULPER D E,Spring,2024,0,0,0,0,0,0,9,0,8,ECON,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    193,ESPONDA I,Spring,2024,0,0,0,0,0,0,5,0,4,ECON,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ECON    194DG,GROVER S R,Spring,2024,0,0,0,0,0,21,0,4,0,ECON,0,0,21,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED       20,PARKER E T,Spring,2024,77,0,0,0,1,94,0,3.887234043,0,ED,0,0,0,1,1,0,14,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      111,ROMO L F,Spring,2024,42,16,7,1,1,119,0,3.378151261,0,ED,0,0,8,13,4,0,17,7,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      123,RIOS R M,Spring,2024,44,2,0,0,0,56,0,3.889285714,0,ED,0,0,0,3,0,0,7,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      123,SANDOVAL N I,Spring,2024,35,1,0,0,1,37,0,3.864864865,0,ED,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      124,SULTANA S,Spring,2024,26,0,0,0,0,43,0,3.88372093,0,ED,0,0,3,2,0,0,12,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      125,DUQUE J D,Spring,2024,30,12,1,0,1,63,0,3.60952381,0,ED,0,0,11,7,1,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      126,PUENTE M,Spring,2024,7,0,0,0,0,54,0,3.925925926,0,ED,0,0,39,4,0,0,4,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      135,OGRAIN C M,Spring,2024,3,6,1,0,0,12,0,3.166666667,0,ED,0,0,0,1,0,0,0,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      136,FELDWINN D L,Spring,2024,0,1,1,0,0,5,0,3.14,0,ED,0,0,0,1,0,0,2,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      145,PUENTE M,Spring,2024,6,1,0,0,1,16,0,3.625,0,ED,0,0,6,1,0,0,1,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      150,LOHWASSER K,Spring,2024,9,1,0,0,0,50,0,3.95,0,ED,0,0,35,0,0,0,5,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED      197,KYRATZIS A,Spring,2024,6,0,0,0,0,9,0,4,0,ED,0,0,3,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
ED   W  119,BLACKWELL K S,Spring,2024,17,0,0,0,3,30,0,3.3,0,ED,0,0,4,1,2,0,1,1,0,1,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB      2LL,EVEN T J,Spring,2024,102,17,1,0,1,534,0,3.901685393,0,EEMB,0,0,366,12,4,0,28,1,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB      2LL,LATTO J G,Spring,2024,102,17,1,0,1,534,0,3.901685393,0,EEMB,0,0,366,12,4,0,28,1,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB      2LL,NGUYEN A T,Spring,2024,102,17,1,0,1,534,0,3.901685393,0,EEMB,0,0,366,12,4,0,28,1,2,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB      3,CARLSON C A,Spring,2024,180,98,16,1,0,594,0,3.424747475,0,EEMB,0,0,4,105,27,1,124,38,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB      3,HODGES S A,Spring,2024,180,98,16,1,0,594,0,3.424747475,0,EEMB,0,0,4,105,27,1,124,38,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB      3,JAMES A K,Spring,2024,72,6,0,0,0,96,0,3.854166667,0,EEMB,0,0,0,4,0,0,13,1,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB      3,NGUYEN A T,Spring,2024,252,104,16,1,0,690,0,3.484492754,0,EEMB,0,0,4,109,27,1,137,39,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB      3,THOMASSON K M,Spring,2024,180,98,16,1,0,594,0,3.424747475,0,EEMB,0,0,4,105,27,1,124,38,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB     90A,HODGES S A,Spring,2024,0,0,0,0,0,0,5,0,5,EEMB,0,0,0,0,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB    102,EVERETT C J,Spring,2024,93,5,2,0,0,193,0,3.808290155,0,EEMB,0,0,45,8,0,1,32,6,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB    103A,WAHLERT G A,Spring,2024,8,1,1,0,0,15,0,3.446666667,0,EEMB,0,0,0,2,0,0,1,1,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB    116,MCLAUGHLIN J,Spring,2024,55,4,2,0,0,86,0,3.615116279,0,EEMB,0,0,0,6,6,2,10,0,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB    116,TURNER T L,Spring,2024,55,4,2,0,0,86,0,3.615116279,0,EEMB,0,0,0,6,6,2,10,0,1,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB    120,BURKEPILE D E,Spring,2024,57,10,4,0,0,89,0,3.766292135,0,EEMB,0,0,14,4,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB    120,STEVENS B L,Spring,2024,57,10,4,0,0,89,0,3.766292135,0,EEMB,0,0,14,4,0,0,0,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB    127L,PAYNE H E,Spring,2024,7,3,1,0,0,21,0,3.557142857,0,EEMB,0,0,5,0,2,0,3,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB    128,FITCH R L,Spring,2024,10,0,1,0,0,48,0,3.735416667,0,EEMB,0,0,24,4,2,1,6,0,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB    131,SWEET S S,Spring,2024,14,7,4,0,1,57,0,3.166666667,0,EEMB,0,0,4,3,3,0,9,9,3,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
EEMB    138,CAVES E M,Spring,2024,46,4,0,0,0,90,0,3.814444444,0,EEMB,0,0,15,8,0,0,15,2,0,0,0,"n/a
",-1,n/a,n/a,-1,n/a,-1,-1%,-1
